question,category,ground_truth_answer,source_doc_id,source_context
Siapa yang diangkat sebagai Operator Program Kreativitas Mahasiswa pada Kampus UPI di Serang tahun 2025 berdasarkan keputusan rektor ini?,factual,"Yus Hemansyah, S.E., NIP 197404082009101001",48accef2-631b-4f89-9e51-054714dac399,"KESATU : Mengangkat Yus Hemansyah, S.E., NIP 197404082009101001 sebagai Operator Program Kreativitas Mahasiswa Pada Kampus Universitas Pendidikan Indonesia di Serang Tahun 2025."
Apa nomor Peraturan Rektor UPI yang mengatur tentang Format Baku Transkrip Akademik bagi Lulusan Program Kependidikan dan Nonkependidikan?,factual,Nomor 2916/UN40/HK/2015,a7296633-eae8-40b0-90d5-6867a629768e,"PERATURAN REKTOR UNIVERSITAS PENDIDIKAN INDONESIA
NOMOR 2916 /UN40/HK/2015
TENTANG
FORMAT BAKU TRANSKRIP AKADEMIK
BAGI LULUSAN PROGRAM KEPENDIDIKAN DAN NONKEPENDIDIKAN
UNIVERSITAS PENDIDIKAN INDONESIA"
Kapan Keputusan Rektor Universitas Pendidikan Indonesia Nomor 372/UN40/KP.06.00/2026 ditetapkan?,factual,13 Februari 2026,08ae6168-79dc-432f-a7df-283edba7b7ce,Ditetapkan di Bandung pada tanggal 13 Februari 2026
Siapa yang menjabat sebagai Penanggung jawab dalam Susunan Tim Pengelola Jurnal Penelitian Pendidikan Tahun 2025?,factual,"Prof. Dr. Ida Hamidah, M.Si.",2203c002-e265-40bf-9fdf-dc7ddafabbc8,"2. **Penanggung jawab** : Prof. Dr. Ida Hamidah, M.Si."
Sejak tanggal berapa Keputusan Rektor Nomor 65/UN40/KP.06.00/2026 berlaku surut?,factual,Sejak tanggal 2 Januari 2026.,23e94618-5c4d-4378-a919-df12b4ac3085,KETIGA | Keputusan Rektor ini mulai berlaku pada tanggal ditetapkan dan berlaku surut sejak tanggal 2 Januari 2026.
Peraturan Rektor Universitas Pendidikan Indonesia Nomor 28 Tahun 2024 mengubah peraturan sebelumnya yang bernomor berapa?,factual,Peraturan Rektor Nomor 2805/UN40/HK/2017,a9d8a9b1-f93e-4ab5-b0a0-4b76697bed12,"MEMUTUSKAN : PERATURAN REKTOR UNIVERSITAS PENDIDIKAN TENTANG INDONESIA PERUBAHAN ATAS PERATURAN REKTOR NOMOR 2805/UN40/HK/2017 TENTANG PENCATATAN, PENYETORAN, PENCAIRAN, DAN PERTANGGUNGJAWABAN PENDAPATAN INCOME GENERATING UNIT UNIVERSITAS PENDIDIKAN INDONESIA."
Apa tujuan pengangkatan tim pelaksana pembangunan zona integritas pada Fakultas Pendidikan Teknik dan Industri UPI berdasarkan Keputusan Rektor Nomor 214/UN40/KP.06.00/2026?,factual,"Mewujudkan tata kelola organisasi yang bersih dan bebas dari korupsi, kolusi, dan nepotisme melalui program Pembangunan Zona Integritas Menuju Wilayah Bebas dari Korupsi dan Wilayah Birokrasi Bersih dan Melayani untuk meningkatkan kualitas pelayanan akademik dan nonakademik.",a3e729e3-bad1-4519-877f-8766b2842a0c,"a. bahwa Universitas Pendidikan Indonesia sebagai lembaga pendidikan tinggi yang memiliki peran strategis dalam mewujudkan tata kelola organisasi yang bersih dan bebas dari korupsi, kolusi, dan nepotisme melalui program Pembangunan Zona Integritas Menuju Wilayah Bebas dari Korupsi dan Wilayah Birokrasi Bersih dan Melayani untuk meningkatkan kualitas pelayanan akademik dan nonakademik pada Fakultas Pendidikan Teknik dan Industri Universitas Pendidikan Indonesia, perlu mengangkat tim pelaksana pembangunan zona integritas dimaksud;"
"Berdasarkan Keputusan Rektor UPI Nomor 922/UN40.R5/KM.06.01/2026, langkah administratif apa yang mendasari penetapan pengurus DPM REMA UPI Tahun 2026?",procedural,"Langkahnya adalah adanya Surat Direktur Direktorat Kemahasiswaan dan Alumni Nomor 793/UN40.F11/KM.05.00/2026 tanggal 7 Mei 2026 hal Permohonan SK Dewan Perwakilan Mahasiswa Republik Mahasiswa (DPM REMA) UPI Tahun 2026, yang kemudian menjadi pertimbangan untuk menetapkan Keputusan Rektor.",e42d6e51-59f5-47ea-bc0f-d3e738144bd8,"a. bahwa sesuai dengan Surat Direktur Direktorat Kemahasiswaan dan Alumni Nomor 793/UN40.F11/KM.05.00/2026 tanggal 7 Mei 2026 hal Permohonan SK Dewan Perwakilan Mahasiswa Republik Mahasiswa (DPM REMA) UPI Tahun 2026, perlu menetapkan Keputusan Rektor dimaksud;

b. bahwa berdasarkan pertimbangan sebagaimana dimaksud pada huruf a, perlu menetapkan Keputusan Rektor tentang Pengurus Dewan Perwakilan Mahasiswa Republik Mahasiswa Universitas Pendidikan Indonesia Tahun 2026;"
Apa dasar hukum utama yang memberikan kewenangan kepada UPI untuk menyelenggarakan seleksi mandiri secara otonom?,factual,Pasal 65 ayat (3) huruf f Undang-Undang Nomor 12 Tahun 2012 tentang Pendidikan Tinggi,99ea1fa9-748b-4235-b43e-996a8e24bc1c,"Berdasarkan Pasal 65 ayat (3) huruf f Undang-Undang Nomor 12 Tahun 2012 tentang Pendidikan Tinggi, perguruan tinggi negeri badan hukum memiliki wewenang untuk mengelola program pendidikan secara otonom, termasuk menyelenggarakan sistem seleksi mandiri."
Keputusan Rektor nomor berapakah yang diubah melalui Keputusan Rektor Nomor 751/UN40/KP.06.00/2026?,factual,Keputusan Rektor Nomor 3155/UN40/KP.06.00/2025,ae5a3493-325b-4bf2-a32b-916ce45d8637,"KESATU | Mengubah Lampiran -Keputusan Rektor tentang Perubahan Atas Keputusan Rektor Nomor 3155/UN40/KP.06.00/2025 tentang Pengangkatan Penanggung Jawab Website, Web Maintenance, dan Pengelola pada Biro Aset dan Lingkungan Universitas Pendidikan nsi Tahun 2026 menjadi sebagaimana tercantum dalam Lampiran Kep…"
Siapa yang menjabat sebagai Pengarah dalam Panitia Bimbingan Teknis Kepala Laboratorium dan Laboran UPI periode 10 Januari – 21 Februari 2026?,factual,"Prof. Dr. Didi Sukyadi, M.A. (Rektor Universitas Pendidikan Indonesia)",a571abff-55e9-4823-a83e-20f234afd9ea,"Pengarah

: Prof. Dr. Didi Sukyadi, M.A. (Rektor Universitas Pendidikan Indonesia)"
Apa dasar hukum yang digunakan Rektor Universitas Pendidikan Indonesia dalam menetapkan Peraturan Rektor tentang Penjabaran Struktur Organisasi Satuan Audit Internal?,factual,"Dasar hukum yang digunakan adalah Undang-Undang Nomor 12 Tahun 2012 tentang Pendidikan Tinggi, Peraturan Pemerintah Nomor 4 Tahun 2014, Peraturan Pemerintah Nomor 15 Tahun 2014 tentang Statuta UPI, Peraturan Pemerintah Nomor 26 Tahun 2015, Peraturan MWA Nomor 03/PER/MWA UPI/2015, Peraturan MWA Nomor 03/PER/MWA UPI/2017, Peraturan MWA Nomor 07/PER/MWA UPI/2017, Keputusan MWA Nomor 06/KEP/MWA UPI/2017, Peraturan Rektor Nomor 6489/UN40/HK/2015, dan Peraturan Rektor Nomor 3449/UN40/HK/2017.",2bf45e30-5286-42e4-ad1e-3dd41f1f156e,"1. Undang-Undang Nomor 12 Tahun 2012 tentang Pendidikan Tinggi (Lembaran Negara Republik Indonesia Tahun 2012 Nomor 158, Tambahan Lembaran Negara Republik Indonesia Nomor 5336);

2. Peraturan Pemerintah Nomor 4 Tahun 2014 tentang Penyelenggaraan Pendidikan Tinggi dan Pengelolaan Perguruan Tinggi (Lembaran Negara Republik Indonesia Tahun 2014 Nomor 16, Tambahan Lembaran Negara RepublikJndonesia Nomor 5500);

3. Peraturan Pemerintah Norn or 15 Tahun 2014 tentang Statuta Universitas Pendidikan Indonesia (Lembaran Negara Republik Indonesia Tahun 2014 Nomor 41 Tambahan Lembaran Negara Republik Indonesia Nomor 5509);

4. Peraturan Pemerintah Nom01• 26 Tahun 2015 tentang Berituk dan Mekanisme Pertdanaan Perguruan Tinggi Negeri Badan Hukum (Lembaran Negara Republik Indonesia Tahun 2015 Nomor 110, Tambahail Lembaran Negara Republik Indonesia Nomor 5699);

5. Peraturan Majelis Wali Amanat Nomor 03/PER/MWA UPI/2015 tentang Peraturan Pelaksanaan Peraturan Pemerintah Norrior 15 Tahur1 2014 tentang Statuta Universitas Pendidikan Indonesia sebagaimana tel ah diubah kedua kalinya dengan Peratutan Majelis Wali AmanatNomor 01/PER/MWA UPI/201:5 tentangPerubahan· Kedua Atas Peraturan Maj el is Wali Amanat Nomor 03/PER/MWA UPI/2015 tentang Peraturan Pelaksanaan Peraturan Pemerintah Nomor 15 Tahun 2014 tentang Statuta Universitas Pendidikan Indonesia; · ·

6. Peraturan Majelis Wali Amanat Nomor 03/PER/MWA UPI/201 T tentang Revisi Penetapan Rencana Strategis Universitas Pendidikan Indonesia Tahun 2016-2020;

7; PeraturanMajelis Wali Amanat Nomor 07/PER/MWA UPI/2017 tentang Rencana Kerja dan Anggaran Tahunan Universitas Pendidikan Indonesia Tahun 20l8;

8. Keputusal1 Majelis Wali Amanat Nomor 06/KEP/MWA UPI/2017 tentartg Pertgangkatan_ Rektor Universitas Pendidikan Indonesia Pengganti Antarwaktu Masa Bakti 2015-2020;

9. Peratutan Rektor Nomor6489/UN40/HK/2015 tentang Struktur Organisasi dan Tata Kerja Universitas Pendidikan Indonesia sebagaimana telah diubah dengan Peraturan Rektor Nomor 6323/UN40/HK/2017 tentarig Perubahan atas Peraturan Rektor Nomor 6489/UN40/HK/2015 tentang Struktur Organisasi dan Tata Kerja · U niversitas Pendidikan Indonesia;

10. Peraturan Rektor Nomor 3449/UN40/HK/2017 tentang Perubahan Peraturan Rektor Nomor 7739/UN40/HK/2015 tentang Sistem Pengelolaan Pegawai Di Lingkungan Universitas"
Siapa nama pengelola media sosial yang diangkat untuk Fakultas Ilmu Pendidikan UPI tahun 2026 berdasarkan Keputusan Rektor Nomor 84/UN40/KP.06.00/2026?,factual,"Arie Fidjli Ibnusina, S.Pd.",ef59f0cd-fdce-4e5e-8c01-40e5c92e6304,"Mengangkat Saudara Arie Fidjli Ibnusina, S.Pd., NIPTT 020230619990731101 sebagai Pengelola Media Sosial pada Fakultas Ilmu Pendidikan Universitas Pendidikan Indonesia Tahun 2026, sebagaimana tercantum dalam Lampiran Keputusan Rektor ini."
"Apa saja jenis dokumen yang berwenang diberikan oleh UPI kepada lulusan pendidikan profesi, dan peraturan rektor sebelumnya yang digantikan oleh Peraturan Rektor Nomor 46 Tahun 2025?",multi-hop,"UPI berwenang memberikan ijazah, transkrip nilai, dan Surat Keterangan Pendamping Ijazah (SKPI) kepada lulusan pendidikan profesi. Peraturan rektor sebelumnya yang digantikan adalah Peraturan Rektor Nomor 022 Tahun 2022 tentang Format Ijazah Lulusan Program Kependidikan dan Nonkependidikan di lingkungan Universitas Pendidikan Indonesia.",b9b46743-a906-4d6e-bc5d-cce6039dfe02,"a. bahwa berdasarkan peraturan perundang-undangan, Universitas Pendidikan Indonesia (UPI) berwenang memberikan ijazah, transkrip nilai, dan Surat Keterangan Pendamping Ijazah (SKPI) kepada lulusan pendidikan akademik, pendidikan vokasi, dan/atau pendidikan profesi;

b. bahwa Peraturan Rektor Nomor 022 Tahun 2022 tentang Format Ijazah Lulusan Program Kependidikan dan Nonkependidikan di lingkungan Universitas Pendidikan Indonesia perlu diganti dengan mengakomodir kebutuhan sesuai dengan kebijakan yang dikeluarkan oleh peraturan perundang-undangan;"
"Apa dasar hukum yang digunakan Rektor UPI dalam menetapkan pedoman RKAT 2023, dan bagaimana status buku pedoman tersebut terhadap peraturan rektor ini?",multi-hop,Dasar hukumnya adalah Pasal 130 ayat (11) Peraturan Majelis Wali Amanat Nomor 03/PER/MWA UPI/2015 sebagaimana telah diubah ketiga kalinya dengan Peraturan Majelis Wali Amanat Nomor 04/PER/MWA UPI/2019. Buku pedoman tersebut merupakan bagian tidak terpisahkan dari Peraturan Rektor ini.,632dcdf1-370d-41e9-996d-b9d03585b1d7,"b. bahwa berdasarkan pertimbangan sebagaimana dimaksud pada huruf a dan untuk melaksanakan ketentuan Pasal 130 ayat (11) Peraturan Majelis Wali Amanat Nomor 03/PER/MWA UPI/2015 tentang Peraturan Pelaksanaan Peraturan Pemerintah Nomor 15 Tahun 2014 tentang Statuta Universitas Pendidikan Indonesia sebagaimana telah diubah ketiga kalinya dengan Peraturan Majelis Wali Amanat Nomor 04/PER/MWA UPI/2019 tentang Perubahan Ketiga Atas Peraturan Majelis Wali Amanat Nomor 03/PER/MWA UPI/2015 tentang Peraturan Pelaksanaan Peraturan Pemerintah Nomor 15 Tahun 2014 tentang Statuta Universitas Pendidikan Indonesia, perlu menetapkan Peraturan Rektor tentang Pedoman Penyusunan dan Implementasi Rencana Kerja dan Anggaran Tahunan Universitas Pendidikan Indonesia Tahun 2023;

Pasal 1

(1) Universitas Pendidikan Indonesia menctapkan Pedoman Penyusunan dan Implementasi Rencana Kerja dan Anggaran Tahunan (RKAT) Universitas Pendidikan Indonesia (UPI) Tahun 2023.

) Pedoman Penyusunan dan Implementasi RKAT sebagaimana dimaksud pada ayat (1) disusun dalam bentuk buku yang merupakan bagian tidak terpisahkan dengan Peraturan Rektor ini."
"Apa dampak yang dapat terjadi jika informasi dari arsip dinamis dengan klasifikasi Terbatas di Universitas Pendidikan Indonesia diketahui oleh pihak yang tidak berhak, dan siapa saja yang termasuk dalam kategori pihak yang tidak berhak tersebut berdasarkan peraturan ini?",multi-hop,"Dapat mengakibatkan terganggunya pelaksanaan tugas dan fungsi lembaga pemerintahan. Pihak yang tidak berhak tersebut adalah Pengguna Eksternal, yaitu setiap orang atau badan hukum yang menggunakan arsip dan berasal dari luar UPI.",dca72eb9-fc59-45fa-8795-78f598673a08,"15. Kategori Terbatas adalah klasifikasi informasi dari arsip yang apabila diketahui oleh pihak yang tidak berhak dapat mengakibatkan terganggunya pelaksanaan tugas dan fungsi lembaga pemerintahan.

12. Pengguna Eksternal adalah setiap orang atau badan hukum yang menggunakan arsip dan berasal dari luar UPI."
"Di fakultas mana Laboratorium Inovasi Pendidikan Inklusif dan Laboratorium Radio berada, dan apa nama departemen atau program studi yang menaungi masing-masing laboratorium tersebut?",multi-hop,"Laboratorium Inovasi Pendidikan Inklusif berada di FIP di bawah Departemen Pendidikan Khusus, sedangkan Laboratorium Radio berada di FPIPS di bawah Departemen Ilmu Komunikasi.",14993d48-4f10-4308-956d-da9982d44dc7,"| 36 | Laboratorium Inovasi Pendidikan Inklusif | Pendidikan Khusus | FIP |
| 37 | Laboratorium Inovasi Pelatihan Orientasi dan Mobilitas Tunanetra | Pendidikan Khusus | FIP |
| 38 | Laboratorium Inovation Braille Corner | Pendidikan Khusus | FIP |
| 39 | Laboratorium Inovasi Literasi Keagamaan Tunarungu | Pendidikan Khusus | FIP |
| 40 | Laboratorium Inovasi Juru Bahasa Isyarat | Pendidikan Khusus | FIP |
| 41 | Laboratorium Inovasi Asesmen dan Intervensi ABK | Pendidikan Khusus | FIP |
| 42 | Laboratorium Inovasi Cerebral Palsy Center | Pendidikan Khusus | FIP |
| 43 | Laboratorium Inovasi Modifikasi Perilaku | Pendidikan Khusus | FIP |
| 44 | Laboratorium Inovasi Pendidikan Gifted | Pendidikan Khusus | FIP |
| 45 | Laboratorium Inovasi Autistik Center | Pendidikan Khusus | FIP |
| 46 | Laboratorium Inovasi Penjas Adaptif | Pendidikan Khusus | FIP |
| 47 | Laboratorium Inovasi Teknologi Asistif | Pendidikan Khusus | FIP |
| 48 | Laboratorium Komputer | Administrasi Pendidikan | FIP |
| 49 | Auditorium FIP | Fakultas | FIP |
| 50 | Laboratorium Televisi dan Fotografi | lmu Komunikasi | FPIPS |
| 51 | Laboratorium Radio | Ilmu Komunikasi | FPIPS |
| 52 | Laboratorium Pendidikan Sejarah (Smart Class) | Pendidikan Sejarah | FPIPS |"
"Berdasarkan Keputusan Rektor Nomor 87/UN40/KP.09.00/2025, langkah apa yang mendasari penerbitan keputusan tentang Pranata Arsip pada Lembaga Penelitian dan Pengabdian Kepada Masyarakat UPI Tahun 2025?",procedural,"Langkah yang mendasari adalah adanya Surat Nomor 26/UN40.D/KA.00/2025 tanggal 10 Januari 2025 hal Permohonan Penerbitan Keputusan Rektor, yang kemudian menjadi pertimbangan untuk menetapkan Keputusan Rektor dimaksud.",70047e52-d1c3-4dcb-84ae-b66e3c7e202d,"a. bahwa sesuai dengan Surat Nomor 26/UN40.D/KA.00/2025 tanggal 10 Januari 2025 hal Permohonan Penerbitan Keputusan Rektor, perlu menetapkan Keputusan Rektor dimaksud;
b. bahwa berdasarkan pertimbangan sebagaimana dimaksud pada huruf a, perlu menetapkan Keputusan Rektor tentang Pranata Arsip pada Lembaga Penelitian dan Pengabdian Kepada Masyarakat Universitas Pendidikan Indonesia Tahun 2025;"
Bagaimana prosedur perubahan Lampiran Keputusan Rektor Nomor 56/UN40/KP.06.00/2026 tentang Satuan Kendali Mutu dan Gugus Kendali Mutu pada Kampus UPI di Cibiru Tahun 2026 berdasarkan Keputusan Rektor Nomor 329/UN40/KP.06.00/2026?,procedural,Lampiran Keputusan Rektor Nomor 56/UN40/KP.06.00/2026 diubah menjadi sebagaimana tercantum dalam Lampiran Keputusan Rektor ini.,9d07ae18-f7cd-4703-9462-3ab2c7bc2c6e,KESATU | Mengubah Lampiran Keputusan Rektor Nomor 56/UN40/KP.06.00/2026 tentang Satuan Kendali Mutu dan Gugus Kendali Mutu pada Kampus Universitas Pendidikan Indonesia di Cibiru Tahun 2026 menjadi sebagaimana tercantum dalam Lampiran Keputusan Rektor ini.
"Kapan lampiran perubahan Keputusan Rektor tentang Tim Revitalisasi Satuan Pendidikan Jenjang SMP Tahun Anggaran 2026 ini mulai berlaku, dan apa yang diubah oleh keputusan ini?",multi-hop,Lampiran Keputusan Rektor ini mulai berlaku pada tanggal ditetapkan dan berlaku surut sejak Mei 2026. Keputusan ini mengubah Lampiran Keputusan Rektor Nomor 822/UN40/KP.06.00/2026.,1d525dd9-a4ed-48f9-8294-8a19a2243907,"KESATU | Mengubah Lampiran Keputusan Rektor Nomor 822/UN40/KP.06.00/2026 tentang Tim Revitalisasi Satuan Pendidikan Jenjang Sekolah Menengah Pertama Tahun Anggaran 2026, menjadi sebagaimana tercantum dalam Rektor in.
KEDUA | Lampiran Keputusan Keputusan Rektor ini mulai berlaku pada tanggal ditetapkan, dan berlaku surut sejak Mei 2026."
"Berdasarkan dasar pertimbangan penetapan keputusan, apa langkah yang dilakukan sebelum menetapkan Keputusan Rektor tentang Kepala Laboratorium di FPOK UPI Tahun 2025?",procedural,"Sebelum menetapkan Keputusan Rektor, terdapat surat permohonan dari FPOK UPI, yaitu Surat Nomor B-253/UN40.A6/KP.08.01/2025 tanggal 15 Januari 2025 hal Permohonan Penerbitan Keputusan Kepanitiaan dan Pengelola Tahun 2025 pada FPOK UPI.",a557fcd4-a65e-4c94-9ace-b58c3d49dff4,"a. bahwa sesuai dengan Surat Nomor B-253/UN40.A6/KP.08.01/2025 tanggal 15 Januari 2025 hal Permohonan Penerbitan Keputusan Kepanitiaan dan Pengelola Tahun 2025 pada FPOK UPI, perlu menetapkan Keputusan Rektor;
b. bahwa berdasarkan pertimbangan sebagaimana dimaksud pada huruf a, perlu menetapkan Keputusan Rektor tentang Kepala Laboratorium Pada Fakultas Pendidikan Olahraga dan Kesehatan Universitas Pendidikan Indonesia Tahun 2025;"
Apa saja tugas Departemen Pendidikan Ilmu Komputer berdasarkan Peraturan Rektor ini?,procedural,"Tugas Departemen Pendidikan Ilmu Komputer meliputi: peningkatan mutu pendidikan, penelitian, dan pengabdian kepada masyarakat, serta kerjasama pada tingkat Departemen; pengelolaan keuangan, sumber daya manusia, kesejahteraan dan pemberdayaan usaha berbasis kepakaran, serta fasilitas pendidikan pada tingkat Departemen; pembinaan kemahasiswaan, hubungan alumni, kehidupan beragama, sosial budaya, dan komunikasi pada tingkat Departemen; perencanaan, pelaksanaan, monitoring, dan evaluasi pada tingkat Departemen; melaksanakan kegiatan penjaminan mutu akademik di tingkat Departemen; dan pembinaan dan pengembangan kelompok bidang ilmu yang menjadi keunggulan Departemen.",13bb4f6c-5efc-472f-ba74-e4e0e503ef65,"Departemen sebagaimana dimaksud dalam Pasal 1 bet1ugas:
a. peningkatan mutu pcndidikan, penelitian, dan pcngabdian kcpada masyarakat, serta kerjasama pada tingkat Departemen;
b. pengelolaan keuangan, sumber daya manusia, kesejahteraan dan pemberdayaan usaha berbasis kepakaran, set1a fasilitas pendidikan pada tingkat Departemen;
c. pembinaan kemahasiswaan, hubungan alumni, kehidupan beragama, sosial budaya, dan komunikasi pada ti ngkat Departemen;
d. perencanaan, pelaksanaan, monitoring, dan evaluasi pada tingkat Departemen;
e. melaksanakan kegiatan penjaminan mutu akademik di tingkat Departemen; dan
f pembinaan dan pengembangan kelompok bidang ilmu yang menjadi keunggulan Departemen."
Bagaimana prosedur penetapan Keputusan Rektor tentang Pengelola Arsip pada Satuan Pencegahan dan Penanganan Isu Kritis UPI Tahun 2026 berdasarkan pertimbangan yang mendasarinya?,procedural,"Prosedurnya adalah: pertama, adanya surat dari Ketua Satuan Pencegahan dan Penanganan Isu Kritis Nomor B-233/UN40.SPPIK/2025 tanggal 12 Desember 2025 tentang permohonan usulan Pengelola Arsip; kedua, berdasarkan surat tersebut, Rektor menetapkan Keputusan Rektor tentang Pengelola Arsip.",5b47dbce-b36c-41ce-bb20-69e43c2a8dd2,"Menimbang
: a. bahwa sesuai Surat Ketua Satuan Pencegahan dan Penanganan Isu Kritis Nomor B- 233/UN40.SPPIK/2025 tanggal 12 Deember 2025 hal Permohonan Usulan Pengelola Arsip Tahun Anggaran 2026 pada SPPIK UPI, perlu menetapkan Keputusan Rektor dimaksud;
b. bahwa berdasarkan pertimbangan sebagaimana dimaksud pada huruf a, perlu menetapkan Keputusan Rektor tentang Pengelola Arsip pada Satuan Pencegahan dan Penanganan Isu Kritis Universitas Pendidikan Indonesia Tahun 2026;"
Apa saja pertimbangan yang mendasari penetapan Keputusan Rektor tentang Calon Mahasiswa Baru Universitas Pendidikan Indonesia Jalur Kelas Internasional Tahun Akademik 2026/2027?,procedural,"Pertimbangannya adalah: a) adanya kesempatan melanjutkan pendidikan bagi calon mahasiswa berkemampuan akademik perlu disediakan UPI untuk membantu pengembangan potensi secara optimal; b) adanya Surat Direktur Direktorat Pendidikan UPI Nomor 1541/UN40.F1/TM.01.03/2026 perihal permohonan Penerbitan Keputusan Rektor; c) berdasarkan pertimbangan huruf a dan b, perlu menetapkan Keputusan Rektor dimaksud.",62bebba4-b511-4db4-84db-811b2e5e20a2,"a. bahwa adanya kesempatan untuk melanjutkan pendidikan di satuan pendidikan tinggi bagi calon mahasiswa berkemampuan akademik perlu disediakan oleh Universitas Pendidikan Indonesia untuk membantu pengembangan potensi yang bersangkutan secara optimal;

b. bahwa sesuai dengan Surat Direktur Direktorat Pendidikan Universitas Pendidikan IndonesiaNomor 1541/UN40.F1/TM.01.03/2026 perihal permohonan Penerbitan Keputusan Rektor, perlu menetapkan Keputusan Rektor di maksud;

c. bahwa berdasarkan pertimbangan sebagaimana dimaksud dalam huruf a dan huruf b, perlu menetapkan Keputusan Rektor tentang Calon Mahasiswa Baru Universitas Pendidikan Indonesia Jalur Kelas Internasional Tahun Akademik 2026/2027;"
Apa dasar hukum berupa peraturan pemerintah yang mengatur statuta UPI dan menjadi landasan pengangkatan operator sistem penelitian dan pengabdian kepada masyarakat tahun 2026?,multi-hop,Peraturan Pemerintah Nomor 15 Tahun 2014 tentang Statuta Universitas Pendidikan Indonesia.,69c346fb-d8e1-4424-b507-b8c859d74b4b,"Menimbang : a. bahwa sesuai Surat Direktur Direktorat Penelitian dan Pengabdian kepada Masyarakat Universitas Pendidikan Indonesia Nomor B-195/UN40.F7/PT.00.00/2026 tanggal 26 Februari 2026 hal Permohonan Usulan Calon Pengelola Sistem Penelitian dan Pengabdian kepada Masyarakat, perlu menetapkan Keputusan Rektor dimaksud; b. bahwa berdasarkan pertimbangan sebagaimana dimaksud pada huruf a, perlu menetapkan Keputusan Rektor tentang Operator Sistem Penelitian dan Pengabdian kepada Masyarakat pada Direktorat Penelitian dan Pengabdian Kepada Masyarakat Universitas Pendidikan Indonesia Tahun 2026; Mengingat : 3. Peraturan Pemerintah Nomor 15 Tahun 2014 tentang Statuta Universitas Pendidikan Indonesia (Lembaran Negara Republik Indonesia Tahun 2014 Nomor 41, Tambahan Lembaran Negara Republik Indonesia Nomor 5509);"
Apa saja peraturan pemerintah yang menjadi dasar hukum penetapan Peraturan Rektor tentang Disiplin Mahasiswa Universitas Pendidikan Indonesia?,procedural,Dasar hukum penetapan Peraturan Rektor ini meliputi: 1. Undang-Undang Nomor 12 Tahun 2012 tentang Pendidikan Tinggi; 2. Peraturan Pemerintah Nomor 4 Tahun 2014 tentang Penyelenggaraan Pendidikan Tinggi dan Pengelolaan Perguruan Tinggi; 3. Peraturan Pemerintah Nomor 15 Tahun 2014 tentang Statuta Universitas Pendidikan Indonesia; 4. Peraturan Pemerintah Nomor 26 Tahun 2015 tentang Bentuk dan Mekanisme Pendanaan Perguruan Tinggi Negeri Badan Hukum sebagaimana telah diubah dengan Peraturan Pemerintah Nomor 8 Tahun 2020.,ff29c65b-c778-4cde-b922-d5026b192ef4,"Mengingat
1. Undang-Undang Nomor 12 Tahun 2012 tentang Pendidikan Tinggi (Lembaran Negara Republik Indonesia Tahun 2012 Nomor 158, Tambahan Lembaran Negara Republik Indonesia Nomor 5336);
2. Peraturan Pemerintah Nomor 4 Tahun 2014 tentang Penyelenggaraan Pendidikan Tinggi dan Pengelolaan Perguruan Tinggi (Lembaran Negara Republik Indonesia Tahun 2014 Nomor 16, Tambahan Lembaran Negara Republik Indonesia Nomor 5500);
3. Peraturan Pemerintah Nomor 15 Tahun 2014 tentang Statuta Universitas Pendidikan Indonesia (Lembaran Negara Republik Indonesia Nomor 41, Tambahan Lembaran Negara Republik Indonesia Nomor 5509);
4. Peraturan Pemerintah Nomor 26 Tahun 2015 tentang Bentuk dan Mekanisme Pendanaan Perguruan Tinggi Negeri Badan Hukum (Lembaran Negara Republik Indonesia Tahun 2015 Nomor 110, Tambahan Lembaran Negara Republik Indonesia Nomor 5699) sebagaimana telah diubah dengan Peraturan Pemerintah Nomor 8 Tahun 2020 tentang Perubahan Atas Peraturan Pemerintah Nomor 26 Tahun 2015 tentang Bentuk dan Mekanisme Pendanaan Perguruan Tinggi Negeri Badan Hukum (Lembaran Negara Republik Indonesia Tahun 2020 Nomor 28, Tambahan Lembaran Negara Republik Indonesia Nomor 6461);"
Apa saja posisi yang ditetapkan dalam Keputusan Rektor Nomor 124/UN40/KP.06.00/2026 tentang Kampus UPI di Sumedang Tahun 2026?,procedural,"Satuan Kendali Mutu, Pranata Arsip, Operator, dan Komandan Regu",946dd978-c480-4d96-892b-e612d071516a,"MEMUTUSKAN:

Menetapkan

: KEPUTUSAN REKTOR TENTANG SATUAN KENDALI MUTU, PRANATA ARSIP, OPERATOR, DAN KOMANDAN REGU PADA KAMPUS UNIVERSITAS PENDIDIKAN INDONESIA DI SUMEDANG TAHUN 2026."
